9720<=x<=9750; y=4287.000000+-0.433333x; interpolation
9750<=x<=9780; y=62.000000+0.000000x; interpolation
9780<=x<=9810; y=-5806.000000+0.600000x; interpolation
9810<=x<=9840; y=1715.000000+-0.166667x; interpolation
9840<=x<=9870; y=4011.000000+-0.400000x; interpolation
9870<=x<=9900; y=63.000000+0.000000x; interpolation
9900<=x<=9930; y=-4557.000000+0.466667x; interpolation
9930<=x<=9960; y=5704.000000+-0.566667x; interpolation
9960<=x<=9990; y=-2596.000000+0.266667x; interpolation
9990<=x<=10020; y=-2596.000000+0.266667x; interpolation
10020<=x<=10050; y=4752.000000+-0.466667x; interpolation
10050<=x<=10080; y=-1948.000000+0.200000x; interpolation
10080<=x<=10110; y=-3628.000000+0.366667x; interpolation
10110<=x<=10140; y=4797.000000+-0.466667x; interpolation
10140<=x<=10170; y=741.000000+-0.066667x; interpolation
10170<=x<=10200; y=-4344.000000+0.433333x; interpolation
10200<=x<=10230; y=76.000000+0.000000x; interpolation
10230<=x<=10260; y=5532.000000+-0.533333x; interpolation
10260<=x<=10290; y=-1308.000000+0.133333x; interpolation
10290<=x<=10320; y=-4738.000000+0.466667x; interpolation
10320<=x<=10350; y=2142.000000+-0.200000x; interpolation
10350<=x<=10380; y=4557.000000+-0.433333x; interpolation
10380<=x<=10410; y=-1325.000000+0.133333x; interpolation
10410<=x<=10440; y=-5489.000000+0.533333x; interpolation
10440<=x<=10470; y=427.000000+-0.033333x; interpolation
10470<=x<=10500; y=5662.000000+-0.533333x; interpolation
10500<=x<=10530; y=62.000000+0.000000x; interpolation
10530<=x<=10560; y=1115.000000+-0.100000x; interpolation
10560<=x<=10590; y=-6629.000000+0.633333x; interpolation
10590<=x<=10620; y=5726.000000+-0.533333x; interpolation
10620<=x<=10650; y=-292.000000+0.033333x; interpolation
10650<=x<=10680; y=-5617.000000+0.533333x; interpolation
10680<=x<=10710; y=-633.000000+0.066667x; interpolation
10710<=x<=10740; y=8292.000000+-0.766667x; interpolation
10740<=x<=10770; y=-1732.000000+0.166667x; interpolation
10770<=x<=10800; y=-6040.000000+0.566667x; interpolation
10800<=x<=10830; y=800.000000+-0.066667x; interpolation
10830<=x<=10860; y=6215.000000+-0.566667x; interpolation
10860<=x<=10890; y=-1387.000000+0.133333x; interpolation
10890<=x<=10920; y=-2113.000000+0.200000x; interpolation
10920<=x<=10950; y=-2841.000000+0.266667x; interpolation
10950<=x<=10980; y=6649.000000+-0.600000x; interpolation
10980<=x<=11010; y=-671.000000+0.066667x; interpolation
11010<=x<=11040; y=-7644.000000+0.700000x; interpolation
11040<=x<=11070; y=3028.000000+-0.266667x; interpolation
11070<=x<=11100; y=5611.000000+-0.500000x; interpolation
11100<=x<=11130; y=431.000000+-0.033333x; interpolation
11130<=x<=11160; y=-7360.000000+0.666667x; interpolation
11160<=x<=11190; y=824.000000+-0.066667x; interpolation
11190<=x<=11220; y=6419.000000+-0.566667x; interpolation
11220<=x<=11250; y=-687.000000+0.066667x; interpolation
11250<=x<=11280; y=-7062.000000+0.633333x; interpolation
11280<=x<=11310; y=2714.000000+-0.233333x; interpolation
11310<=x<=11340; y=4222.000000+-0.366667x; interpolation
11340<=x<=11370; y=-1070.000000+0.100000x; interpolation
11370<=x<=11400; y=2720.000000+-0.233333x; interpolation
11400<=x<=11430; y=-1080.000000+0.100000x; interpolation
11430<=x<=11460; y=-6414.000000+0.566667x; interpolation
11460<=x<=11490; y=7720.000000+-0.666667x; interpolation
11490<=x<=11520; y=-7217.000000+0.633333x; interpolation
11520<=x<=11550; y=6607.000000+-0.566667x; interpolation
11550<=x<=11580; y=-708.000000+0.066667x; interpolation
11580<=x<=11610; y=-5340.000000+0.466667x; interpolation
11610<=x<=11640; y=852.000000+-0.066667x; interpolation
11640<=x<=11670; y=5120.000000+-0.433333x; interpolation
11670<=x<=11700; y=-6161.000000+0.533333x; interpolation
11700<=x<=11730; y=1249.000000+-0.100000x; interpolation
11730<=x<=11760; y=5941.000000+-0.500000x; interpolation
11760<=x<=11790; y=5157.000000+-0.433333x; interpolation
11790<=x<=11820; y=-12135.000000+1.033333x; interpolation
11820<=x<=11850; y=2049.000000+-0.166667x; interpolation
11850<=x<=11880; y=5604.000000+-0.466667x; interpolation
11880<=x<=11910; y=-1128.000000+0.100000x; interpolation
11910<=x<=11940; y=-4304.000000+0.366667x; interpolation
11940<=x<=11970; y=-1518.000000+0.133333x; interpolation
11970<=x<=12000; y=7659.000000+-0.633333x; interpolation
12000<=x<=12030; y=-2341.000000+0.200000x; interpolation
12030<=x<=12060; y=-4747.000000+0.400000x; interpolation
12060<=x<=12090; y=1685.000000+-0.133333x; interpolation
12090<=x<=12120; y=4909.000000+-0.400000x; interpolation
12120<=x<=12150; y=-1151.000000+0.100000x; interpolation
12150<=x<=12180; y=-5606.000000+0.466667x; interpolation
12180<=x<=12210; y=1702.000000+-0.133333x; interpolation
12210<=x<=12240; y=6179.000000+-0.500000x; interpolation
12240<=x<=12270; y=-757.000000+0.066667x; interpolation
12270<=x<=12300; y=-4029.000000+0.333333x; interpolation
12300<=x<=12330; y=-1979.000000+0.166667x; interpolation
12330<=x<=12360; y=5419.000000+-0.433333x; interpolation
12360<=x<=12390; y=63.000000+0.000000x; interpolation
12390<=x<=12420; y=-6132.000000+0.500000x; interpolation
12420<=x<=12450; y=906.000000+-0.066667x; interpolation
12450<=x<=12480; y=5886.000000+-0.466667x; interpolation
12480<=x<=12510; y=62.000000+0.000000x; interpolation
12510<=x<=12540; y=-4525.000000+0.366667x; interpolation
12540<=x<=12570; y=491.000000+-0.033333x; interpolation
12570<=x<=12600; y=4681.000000+-0.366667x; interpolation
12600<=x<=12630; y=-779.000000+0.066667x; interpolation
12630<=x<=12660; y=-5410.000000+0.433333x; interpolation
12660<=x<=12690; y=12314.000000+-0.966667x; interpolation
12690<=x<=12720; y=-5452.000000+0.433333x; interpolation
12720<=x<=12750; y=-1212.000000+0.100000x; interpolation
12750<=x<=12780; y=-6312.000000+0.500000x; interpolation
12780<=x<=12810; y=1782.000000+-0.133333x; interpolation
12810<=x<=12840; y=4771.000000+-0.366667x; interpolation
12840<=x<=12870; y=-793.000000+0.066667x; interpolation
12870<=x<=12900; y=-5512.000000+0.433333x; interpolation
12900<=x<=12930; y=1798.000000+-0.133333x; interpolation
12930<=x<=12960; y=4815.000000+-0.366667x; interpolation
12960<=x<=12990; y=-801.000000+0.066667x; interpolation
12990<=x<=13020; y=-5131.000000+0.400000x; interpolation
13020<=x<=13050; y=1813.000000+-0.133333x; interpolation
13050<=x<=13080; y=4423.000000+-0.333333x; interpolation
13080<=x<=13110; y=-1245.000000+0.100000x; interpolation
13110<=x<=13140; y=-5615.000000+0.433333x; interpolation
13140<=x<=13170; y=2269.000000+-0.166667x; interpolation
13170<=x<=13200; y=5342.000000+-0.400000x; interpolation
13200<=x<=13230; y=-2138.000000+0.166667x; interpolation
13230<=x<=13260; y=2272.000000+-0.166667x; interpolation
13260<=x<=13290; y=-1264.000000+0.100000x; interpolation
13290<=x<=13320; y=-6137.000000+0.466667x; interpolation
13320<=x<=13350; y=2743.000000+-0.200000x; interpolation
13350<=x<=13380; y=4523.000000+-0.333333x; interpolation
13380<=x<=13410; y=-3059.000000+0.233333x; interpolation
13410<=x<=13440; y=-3506.000000+0.266667x; interpolation
13440<=x<=13470; y=4558.000000+-0.333333x; interpolation
13470<=x<=13500; y=1864.000000+-0.133333x; interpolation
13500<=x<=13530; y=-6686.000000+0.500000x; interpolation
13530<=x<=13560; y=981.000000+-0.066667x; interpolation
13560<=x<=13590; y=7761.000000+-0.566667x; interpolation
13590<=x<=13620; y=-1299.000000+0.100000x; interpolation
13620<=x<=13650; y=-6293.000000+0.466667x; interpolation
13650<=x<=13680; y=-378.000000+0.033333x; interpolation
13680<=x<=13710; y=7374.000000+-0.533333x; interpolation
13710<=x<=13740; y=1890.000000+-0.133333x; interpolation
13740<=x<=13770; y=-7728.000000+0.566667x; interpolation
13770<=x<=13800; y=6501.000000+-0.466667x; interpolation
13800<=x<=13830; y=-1779.000000+0.133333x; interpolation
13830<=x<=13860; y=1909.000000+-0.133333x; interpolation
13860<=x<=13890; y=-6407.000000+0.466667x; interpolation
13890<=x<=13920; y=6094.000000+-0.433333x; interpolation
13920<=x<=13950; y=990.000000+-0.066667x; interpolation
13950<=x<=13980; y=1455.000000+-0.100000x; interpolation
13980<=x<=14010; y=-6933.000000+0.500000x; interpolation
14010<=x<=14040; y=4275.000000+-0.300000x; interpolation
14040<=x<=14070; y=-4149.000000+0.300000x; interpolation
14070<=x<=14100; y=-1335.000000+0.100000x; interpolation
14100<=x<=14130; y=7125.000000+-0.500000x; interpolation
14130<=x<=14160; y=-411.000000+0.033333x; interpolation
14160<=x<=14190; y=61.000000+0.000000x; interpolation
